Row Labels,Acute Bronchitis,Acute respiratory infections (ARI),Allergic Rhinitis,Asthma,Bronchiolitis,Bronchitis,Bullous Dermatoses,Chickenpox,Common Cold,Conjunctival Disorders,COVID-19,Croup,Denom,ECLD - Asthma exacerbations,ECLD - COPD exacerbations,Exacerbations of chronic lung disease,Herpes Simplex,Herpes Zoster,Impetigo,Infectious Intestinal Diseases,Infectious Mononucleosis,Influenza-like illness,Laryngitis,Laryngitis and Tracheitis,Lower Respiratory Tract Infections,Measles,Meningitis and Encephalitis,Mumps,Non-infective Enteritis and Colitis,Number of practices,Otitis Media,Otitis Media Acute,Otitis Media Acute New,Peripheral Nervous Disease,Pleurisy,Pneumonia,Pneumonia and Pneumonitis,Population,Practice Count,Respiratory System Diseases,Rubella,Scabies,Sinusitis,Skin and Subcutaneous Tissue Infections,Strep Throat and Peritonsillar Abscess,Symptoms involving musckuoskeletal,Symptoms involving musculoskeletal,Symptoms involving Respiratory and Chest,Symptoms involving Skin and Integument Tissues,Tonsillitis and acute Pharyngitis,Tonsillitis/Pharyngitis,Upper Respiratory Tract Infections,Urinary Tract Infections,Viral Hepatitis,Whooping Cough,Grand Total
05/06/2017,2661,,1754,664,,,12,584,2674,1437,,,,,,,271,378,252,473,34,98,,170,2769,1,3,61,459,,,888,,586,54,,60,,,12951,0,91,816,3424,87,226,,1105,2519,2502,,7011,1636,10,0,48721
12/06/2017,1338,,2469,405,,,6,258,1440,996,,,,,,,144,234,162,309,12,75,,99,1401,0,9,3,276,,,528,,354,30,,36,,,8598,0,57,381,2163,48,171,,627,1326,1497,,3936,990,6,3,30387
19/06/2017,1275,,2871,438,,,6,336,1461,1149,,,,,,,252,264,216,285,15,39,,87,1332,0,6,12,300,,,510,,312,15,,39,,,8817,0,51,312,3174,78,174,,606,1854,1449,,3804,945,9,9,32502
26/06/2017,1494,,1212,492,,,9,294,1767,873,,,,,,,210,342,246,369,9,72,,93,1572,0,12,27,336,,,588,,402,51,,27,,,8586,0,30,531,2766,48,225,,705,1881,1749,,4713,1155,21,3,32910
03/07/2017,1725,,1128,543,,,6,246,2016,1113,,,,,,,258,342,252,417,15,81,,144,1806,0,6,12,279,,,738,,417,30,,48,,,9471,0,30,555,3096,84,210,,771,1839,2088,,5496,1338,12,3,36615
10/07/2017,1548,,648,520,,,12,272,1688,792,,,,,,,116,324,208,344,12,60,,100,1640,4,12,12,332,,,604,,324,36,,48,,,7748,0,48,516,2496,80,180,,684,1408,1692,,4592,956,24,4,30084
17/07/2017,3265,,1080,885,,,15,340,3645,1685,,,,,,,335,550,370,655,40,135,,270,3470,0,15,30,725,,,1390,,680,120,,90,,,15775,0,90,940,5125,125,198,132,1325,3365,3480,,9655,1995,20,5,62020
24/07/2017,3255,,685,1010,,,25,335,3625,1575,,,,,,,485,595,340,620,45,120,,275,3410,0,15,15,640,,,1240,,745,85,,60,,,15040,0,75,950,5210,105,132,198,1295,3095,3125,,9170,2185,30,10,59820
31/07/2017,3405,,665,835,,,20,335,3665,1540,,,,,,,380,615,400,675,35,130,,375,3595,0,15,15,690,,,1240,,750,55,,130,,,15435,0,165,1140,4855,80,60,240,1395,3065,2940,,9335,2270,20,10,60575
07/08/2017,3545,,565,805,,,30,255,3500,1610,,,,,,,335,630,365,625,35,135,,345,3690,0,30,20,765,,,1095,,695,55,,70,,,14730,0,105,1060,4940,55,,340,1180,3090,2910,,8855,2395,15,40,58915
14/08/2017,2840,,384,628,,,4,196,2740,1312,,,,,,,344,532,384,592,28,124,,264,2976,0,12,4,588,,,932,,668,52,,72,,,11740,0,84,912,4256,32,,268,1164,2640,2180,,7024,1924,8,8,47916
21/08/2017,2696,,368,588,,,8,148,2852,1172,,,,,,,352,492,352,500,32,108,,216,2832,0,8,4,556,,,968,,592,44,,92,,,11332,0,44,836,4380,60,,292,1012,2552,1880,,6732,1832,20,12,45964
28/08/2017,3483,,360,387,,,16,168,2236,960,,,,,,,284,376,340,408,12,84,,192,2700,0,12,8,424,,,776,,464,68,,44,,,9496,0,48,564,3752,44,,264,848,2208,1632,,5388,1636,12,8,39702
04/09/2017,4037,,384,603,,,12,164,2900,1176,,,,,,,376,516,376,560,12,108,,236,3056,0,12,8,564,,,1044,,688,56,,88,,,12168,4,48,908,4188,44,,264,1136,2388,1912,,6984,1940,4,20,48984
11/09/2017,4458,,376,672,,,4,148,3716,1132,,,,,,,304,452,360,536,48,160,,340,3344,0,16,4,568,,,1008,,692,68,,56,,,13853,0,84,944,3800,48,,376,1108,2524,2284,,8274,1920,8,20,53705
18/09/2017,5457,,420,723,,,12,168,5874,1216,,,,,,,384,496,400,544,44,256,,548,4162,0,8,0,620,,,1352,,688,92,,96,,,17732,0,120,1060,3956,56,,360,1192,2524,2664,,11412,2128,24,12,66800
25/09/2017,4757,,272,1040,,,8,164,6777,1156,,,,,,,272,536,388,608,32,304,,604,4965,0,4,0,664,,,1544,,656,88,,76,,,19956,0,156,1352,3968,48,,340,1316,2564,2716,,12907,1820,20,12,72090
02/10/2017,4756,,296,1064,,,0,252,7004,1372,,,,,,,376,476,436,536,60,452,,656,4888,0,12,12,560,,,1432,,692,76,,36,,,20356,0,132,1216,3824,60,,320,1236,2544,2772,,13008,2036,20,24,72992
09/10/2017,5172,,344,1048,,,16,216,6720,1140,,,,,,,316,516,500,600,36,364,,700,5328,0,16,12,612,,,1648,,764,88,,48,,,20504,0,132,1300,3944,164,,272,1380,2768,2904,,13160,2160,8,16,74916
16/10/2017,3534,,201,783,,,0,195,5118,1059,,,,,,,222,393,336,408,18,294,,465,3669,3,6,12,432,,,975,,480,72,,45,,,14907,0,72,1011,2769,108,,261,1008,2139,1992,,9501,1599,18,9,54114
23/10/2017,3099,,186,747,,,12,171,4395,1041,,,,,,,240,372,288,438,24,303,,393,3237,0,6,45,396,,,1089,,438,63,,66,,,13143,0,57,666,2568,99,,219,930,1827,1872,,8361,1431,15,6,48243
30/10/2017,3117,,192,714,,,12,204,4569,930,,,,,,,222,405,372,411,12,231,,327,3228,0,3,6,369,,,978,,399,51,,54,,,13218,0,105,750,2520,36,,225,951,1776,1899,,8460,1341,6,6,48099
06/11/2017,2610,,166,488,,,4,148,3524,800,,,,,,,190,240,228,274,18,214,,262,2694,2,4,26,282,,,764,,378,14,,60,,,10478,0,50,572,1784,74,,166,750,1288,1542,,6588,960,18,10,37670
13/11/2017,2784,,132,478,,,8,128,4114,760,,,,,,,194,260,226,342,36,196,,292,2886,4,6,8,302,,,900,,342,44,,42,,,11354,0,76,632,1882,60,,162,644,1324,1632,,7510,946,8,4,40718
20/11/2017,1531,,78,250,,,3,59,2316,370,,,,,,,74,134,129,139,12,122,,129,1586,1,2,2,142,,,558,,164,21,,29,,,6192,0,32,379,884,32,,69,375,629,850,,4201,516,3,3,22016
04/12/2017,1608,,46,308,,,6,72,2241,444,,,,,,,79,124,121,154,14,139,,117,1663,0,2,4,136,,,504,,154,22,,27,,,6147,0,25,411,876,39,,80,375,660,811,,4058,495,1,4,21967
11/12/2017,3620,,134,546,,,2,134,4864,902,,,,,,,150,234,198,328,10,386,,258,3746,2,2,4,288,,,1100,,302,46,,64,,,13436,0,62,894,1624,92,,120,692,1134,1676,,8722,846,4,10,46632
18/12/2017,6519,,201,1008,,,3,243,8586,1503,,,,,,,288,345,360,435,30,966,,399,6675,0,3,6,417,,,1881,,429,54,,90,,,23826,0,84,1473,2691,162,,213,1062,1716,2913,,15135,1467,9,6,81198
25/12/2017,7888,,100,896,,,12,220,7860,1104,,,,,,,160,340,280,436,28,1416,,372,8072,8,0,4,332,,,1548,,296,32,,136,,,23968,0,48,1316,2232,80,,144,1172,1308,2804,,13800,1100,8,24,79544
01/01/2018,9896,,160,1096,,,4,356,9624,1480,,,,,,,252,396,248,492,32,2520,,360,10212,0,4,16,500,,,1724,,396,92,,168,,,31272,0,124,2100,2876,112,,264,1472,1984,3184,,16856,1564,12,4,101852
08/01/2018,8852,,272,1204,,,12,252,9684,1796,,,,,,,328,400,360,672,24,3616,,300,9080,4,8,8,520,,,1840,,676,68,,124,,,31824,0,124,2304,3336,180,,296,1760,2596,3320,,17372,1904,12,0,105128
15/01/2018,7556,,280,1412,,,4,364,9680,1880,,,,,,,364,484,468,716,44,3672,,476,7908,0,12,12,512,,,1700,,632,116,,188,,,31020,0,108,1660,3320,212,,336,1628,2760,3956,,17332,1904,16,20,102752
22/01/2018,7320,,280,1040,,,8,356,9728,2036,,,,,,,372,468,464,644,32,3616,,516,7612,12,24,16,592,,,2256,,676,80,,216,,,30784,0,140,1708,3596,252,,360,1744,2752,4216,,18240,1980,12,12,104160
29/01/2018,6424,,304,1104,,,4,336,8980,2052,,,,,,,356,540,464,648,32,2956,,380,6648,4,12,12,472,,,2324,,676,112,,108,,,28128,0,160,1576,3636,256,,320,1616,2740,4172,,17276,2228,24,8,97088
05/02/2018,5856,,236,1088,,,8,520,9704,2256,,,,,,,320,432,512,600,12,2376,,380,6044,0,12,4,580,,,2300,,664,56,,112,,,27924,0,148,1624,3588,300,,300,1716,2776,4424,,18284,2104,16,4,97280
12/02/2018,6268,,232,1048,,,12,348,7968,2140,,,,,,,296,456,408,496,16,2020,,404,6444,4,12,8,444,,,2028,,624,56,,100,,,25768,0,80,1724,3292,304,,292,1508,2672,3880,,15900,1808,36,0,89096
